X	Y	occurrencedate	premisetype	occurrencedayofweek	occurrencehour	Division	Neighbourhood
-79.5838089	43.7468147	2014-08-03T04:00:00.000Z	Outside	Sunday    	22	D23	Mount Olive-Silverstone-Jamestown (2)
-79.3400879	43.6610641	2017-09-26T04:00:00.000Z	Outside	Tuesday   	19	D55	South Riverdale (70)
-79.3400879	43.6610641	2017-09-26T04:00:00.000Z	Outside	Tuesday   	19	D55	South Riverdale (70)
-79.4784393	43.6950836	2017-08-20T04:00:00.000Z	House	Sunday    	2	D12	Beechborough-Greenbrook (112)
-79.4141769	43.6693497	2014-07-22T04:00:00.000Z	Other	Tuesday   	17	D14	Annex (95)
-79.5413895	43.6968117	2015-02-07T05:00:00.000Z	Outside	Saturday  	18	D23	Kingsview Village-The Westway (6)
-79.5520859	43.7267418	2014-06-11T04:00:00.000Z	Outside	Wednesday 	20	D23	Elms-Old Rexdale (5)
-79.380928	43.6563301	2015-11-24T05:00:00.000Z	Outside	Tuesday   	16	D52	Church-Yonge Corridor (75)
-79.4102936	43.6595612	2015-10-21T04:00:00.000Z	Outside	Wednesday 	12	D14	Palmerston-Little Italy (80)
-79.3856964	43.658329	2015-09-22T04:00:00.000Z	Outside	Tuesday   	3	D52	Bay Street Corridor (76)
-79.4714813	43.7678299	2016-09-12T04:00:00.000Z	Commercial	Monday    	0	D32	York University Heights (27)
-79.4700546	43.6845589	2014-01-06T05:00:00.000Z	House	Monday    	8	D12	Keelesdale-Eglinton West (110)
-79.407402	43.7048378	2014-11-15T05:00:00.000Z	Outside	Saturday  	19	D53	Yonge-Eglinton (100)
-79.2025299	43.8145599	2015-04-21T04:00:00.000Z	House	Tuesday   	21	D42	Rouge (131)
-79.3997803	43.6437263	2015-08-21T04:00:00.000Z	Outside	Friday    	23	D14	Waterfront Communities-The Island (77)
-79.3984451	43.6517258	2015-05-14T04:00:00.000Z	Outside	Thursday  	10	D14	Kensington-Chinatown (78)
-79.3984451	43.6517258	2015-05-14T04:00:00.000Z	Outside	Thursday  	10	D14	Kensington-Chinatown (78)
-79.5577316	43.607296	2015-04-07T04:00:00.000Z	Outside	Tuesday   	12	D22	Islington-City Centre West (14)
-79.3910904	43.6463165	2014-02-06T05:00:00.000Z	Outside	Thursday  	18	D52	Waterfront Communities-The Island (77)
-79.4227066	43.6544037	2015-08-14T04:00:00.000Z	Outside	Friday    	21	D14	Palmerston-Little Italy (80)
-79.3944321	43.6402054	2015-05-10T04:00:00.000Z	Commercial	Sunday    	20	D14	Waterfront Communities-The Island (77)
-79.4031982	43.657383	2015-06-26T04:00:00.000Z	Outside	Friday    	23	D14	University (79)
-79.3437195	43.7758369	2014-02-21T05:00:00.000Z	Outside	Friday    	15	D33	Don Valley Village (47)
-79.4347763	43.6583481	2015-06-05T04:00:00.000Z	House	Friday    	18	D14	Dufferin Grove (83)
-79.3694611	43.6545258	2014-04-11T04:00:00.000Z	Outside	Friday    	20	D51	Moss Park (73)
-79.5207214	43.7106552	2017-01-15T05:00:00.000Z	House	Sunday    	0	D12	Pelmo Park-Humberlea (23)
-79.397644	43.6518784	2016-04-29T04:00:00.000Z	Outside	Friday    	14	D52	Kensington-Chinatown (78)
-79.1820679	43.7914429	2014-12-06T05:00:00.000Z	House	Saturday  	18	D43	Highland Creek (134)
-79.3308029	43.6844749	2017-09-09T04:00:00.000Z	House	Saturday  	23	D54	Danforth (66)
-79.3656311	43.6665306	2015-05-03T04:00:00.000Z	House	Sunday    	9	D51	Cabbagetown-South St.James Town (71)
-79.366951	43.6565018	2014-07-13T04:00:00.000Z	Outside	Sunday    	1	D51	Moss Park (73)
-79.279953	43.8183937	2015-05-10T04:00:00.000Z	House	Sunday    	18	D42	Milliken (130)
-79.5408707	43.6177444	2016-05-22T04:00:00.000Z	Outside	Sunday    	11	D22	Islington-City Centre West (14)
-79.468956	43.6877899	2015-04-02T04:00:00.000Z	Outside	Thursday  	22	D12	Keelesdale-Eglinton West (110)
-79.3764725	43.6508522	2014-10-02T04:00:00.000Z	Outside	Thursday  	9	D51	Church-Yonge Corridor (75)
-79.4989166	43.6175003	2014-04-26T04:00:00.000Z	Other	Saturday  	12	D22	Mimico (includes Humber Bay Shores) (17)
-79.4170761	43.6551743	2015-06-06T04:00:00.000Z	Outside	Saturday  	22	D14	Palmerston-Little Italy (80)
-79.5042496	43.7044754	2017-04-01T04:00:00.000Z	Outside	Saturday  	0	D12	Rustic (28)
-79.4813843	43.6597595	2016-03-18T04:00:00.000Z	House	Friday    	16	D11	Runnymede-Bloor West Village (89)
-79.4902344	43.7058067	2015-05-18T04:00:00.000Z	Outside	Monday    	17	D12	Rustic (28)
-79.4306107	43.6346245	2015-08-19T04:00:00.000Z	Outside	Wednesday 	17	D14	South Parkdale (85)
-79.5034561	43.7015724	2017-10-03T04:00:00.000Z	Outside	Tuesday   	18	D12	Brookhaven-Amesbury (30)
-79.5391464	43.6949577	2014-04-22T04:00:00.000Z	House	Tuesday   	19	D23	Kingsview Village-The Westway (6)
-79.3944321	43.6402054	2015-05-31T04:00:00.000Z	Outside	Sunday    	17	D14	Waterfront Communities-The Island (77)
-79.4236984	43.6518173	2015-10-06T04:00:00.000Z	House	Tuesday   	23	D14	Trinity-Bellwoods (81)
-79.3886795	43.648201	2014-12-06T05:00:00.000Z	Outside	Saturday  	22	D52	Waterfront Communities-The Island (77)
-79.4543076	43.6471786	2015-04-05T04:00:00.000Z	House	Sunday    	19	D11	High Park-Swansea (87)
-79.387413	43.6684799	2014-05-02T04:00:00.000Z	Commercial	Friday    	13	D52	Bay Street Corridor (76)
-79.5064087	43.6774788	2014-12-20T05:00:00.000Z	Outside	Saturday  	15	D12	Rockcliffe-Smythe (111)
-79.40522	43.6374741	2015-09-15T04:00:00.000Z	Outside	Tuesday   	22	D14	Niagara (82)
-79.3912811	43.6401138	2014-08-19T04:00:00.000Z	Outside	Tuesday   	19	D52	Waterfront Communities-The Island (77)
-79.4216537	43.6414757	2015-04-18T04:00:00.000Z	Outside	Saturday  	22	D14	Niagara (82)
-79.5423584	43.6929283	2014-09-11T04:00:00.000Z	House	Thursday  	22	D23	Kingsview Village-The Westway (6)
-79.3844147	43.6573105	2014-09-19T04:00:00.000Z	Outside	Friday    	18	D52	Bay Street Corridor (76)
-79.4160004	43.7816391	2015-05-25T04:00:00.000Z	Outside	Monday    	8	D32	Newtonbrook East (50)
-79.40522	43.6374741	2015-05-26T04:00:00.000Z	Commercial	Tuesday   	2	D14	Niagara (82)
-79.3957443	43.6377716	2015-08-14T04:00:00.000Z	Outside	Friday    	1	D14	Waterfront Communities-The Island (77)
-79.3674774	43.6617584	2014-02-23T05:00:00.000Z	Outside	Sunday    	22	D51	Moss Park (73)
-79.3983688	43.7067337	2014-09-18T04:00:00.000Z	Outside	Thursday  	22	D53	Mount Pleasant West (104)
-79.5190048	43.7067375	2017-08-20T04:00:00.000Z	Outside	Sunday    	19	D12	Weston (113)
-79.3048096	43.7168541	2016-07-21T04:00:00.000Z	Outside	Thursday  	12	D54	Victoria Village (43)
-79.3807602	43.6521263	2015-07-30T04:00:00.000Z	Outside	Thursday  	15	D52	Bay Street Corridor (76)
-79.3744125	43.6499252	2014-08-06T04:00:00.000Z	Outside	Wednesday 	9	D51	Church-Yonge Corridor (75)
-79.5260696	43.6107941	2015-09-02T04:00:00.000Z	Outside	Wednesday 	12	D22	Mimico (includes Humber Bay Shores) (17)
-79.4803543	43.6572075	2016-12-09T05:00:00.000Z	Outside	Friday    	16	D11	Runnymede-Bloor West Village (89)
-79.4028473	43.6519279	2017-10-27T04:00:00.000Z	Other	Friday    	9	D14    	Kensington-Chinatown (78)
-79.6113205	43.7106895	2014-12-23T05:00:00.000Z	Outside	Tuesday   	16	D23	West Humber-Clairville (1)
-79.6190186	43.7210083	2014-12-23T05:00:00.000Z	House	Tuesday   	23	D23	West Humber-Clairville (1)
-79.5838089	43.7468147	2014-12-26T05:00:00.000Z	Outside	Friday    	23	D23	Mount Olive-Silverstone-Jamestown (2)
-79.4139557	43.6386719	2015-01-02T05:00:00.000Z	Outside	Friday    	17	D14	Niagara (82)
-79.3437195	43.7758369	2015-01-04T05:00:00.000Z	Outside	Sunday    	15	D33	Don Valley Village (47)
-79.1707382	43.8048553	2015-01-03T05:00:00.000Z	Outside	Saturday  	1	D42	Rouge (131)
-79.2229996	43.7580299	2015-01-04T05:00:00.000Z	Outside	Sunday    	23	D43	Woburn (137)
-79.3792572	43.6524429	2014-08-11T04:00:00.000Z	Outside	Monday    	12	D52	Church-Yonge Corridor (75)
-79.4026794	43.6374435	2015-01-02T05:00:00.000Z	Apartment	Friday    	20	D14	Niagara (82)
-79.5955658	43.6867599	2014-12-27T05:00:00.000Z	Outside	Saturday  	5	D23	West Humber-Clairville (1)
-79.5221329	43.7555389	2014-11-30T05:00:00.000Z	Outside	Sunday    	12	D31	Glenfield-Jane Heights (25)
-79.4896545	43.7580605	2014-12-22T05:00:00.000Z	Outside	Monday    	10	D31	York University Heights (27)
-79.5580597	43.7600021	2014-12-23T05:00:00.000Z	Outside	Tuesday   	7	D31	Humber Summit (21)
-79.336235	43.7728996	2015-01-07T05:00:00.000Z	Outside	Wednesday 	20	D33	Henry Farm (53)
-79.2912064	43.8190842	2015-01-07T05:00:00.000Z	House	Wednesday 	23	D42	Milliken (130)
-79.5827103	43.7444992	2015-01-12T05:00:00.000Z	Other	Monday    	12	D23	Mount Olive-Silverstone-Jamestown (2)
-79.5990524	43.7181282	2015-01-13T05:00:00.000Z	Outside	Tuesday   	9	D23	West Humber-Clairville (1)
-79.4931412	43.6883087	2015-01-05T05:00:00.000Z	Apartment	Monday    	9	D12	Mount Dennis (115)
-79.3437195	43.7758369	2015-01-13T05:00:00.000Z	Outside	Tuesday   	6	D33	Don Valley Village (47)
-79.537735	43.650795	2015-01-08T05:00:00.000Z	House	Thursday  	7	D22	Islington-City Centre West (14)
-79.4417343	43.6585617	2015-01-14T05:00:00.000Z	Outside	Wednesday 	10	D11	Dovercourt-Wallace Emerson-Junction (93)
-79.5376968	43.6513329	2015-01-15T05:00:00.000Z	House	Thursday  	6	D22	Islington-City Centre West (14)
-79.1788025	43.7594261	2015-01-15T05:00:00.000Z	Outside	Thursday  	8	D43	West Hill (136)
-79.3739166	43.655365	2016-03-26T04:00:00.000Z	Commercial	Saturday  	22	D51	Moss Park (73)
-79.4416733	43.6416435	2016-03-29T04:00:00.000Z	Outside	Tuesday   	22	D11	Roncesvalles (86)
-79.234993	43.7757454	2016-03-27T04:00:00.000Z	Outside	Sunday    	18	D43	Woburn (137)
